1;Dióxido de azufre;38;Fluorescencia ultravioleta;µg/m³;microgramos por metro cúbico;
6;Monóxido de carbono;48;Espectrometría infrarroja no dispersiva;mg/m³;miligramos por metro cúbico;
7;Monóxido de nitrógeno;8;Quimioluminiscencia;µg/m³;microgramos por metro cúbico;
8;Dióxido de nitrógeno;8;Quimioluminiscencia;µg/m³;microgramos por metro cúbico;
9;Partículas en suspensión < PM2,5;49;Absorción beta;µg/m³;microgramos por metro cúbico;
10;Partículas en suspensión < PM10 49;Absorción beta;µg/m³;microgramos por metro cúbico;
12;Óxidos de nitrógeno;8;Quimioluminiscencia;µg/m³;microgramos por metro cúbico;
14;Ozono;6;Absorción ultravioleta;µg/m³;microgramos por metro cúbico;
20;Tolueno;59;Cromatografía de gases;µg/m³;microgramos por metro cúbico;
22;Black Carbon;7;Absorción de luz;µg/m³;microgramos por metro cúbico;
30;Benceno;59;Cromatografía de gases;µg/m³;microgramos por metro cúbico;
42;Hidrocarburos totales;2;Ionización llama;mg/m³;miligramos por metro cúbico;
44;Hidrocarburos no metánicos;2;Ionización llama;mg/m³;miligramos por metro cúbico;
81;Velocidad del viento;89;;m/s;metros por segundo;
83;Temperatura;89;;ºc;grados centígrados;
86;Humedad relativa;89;;%;porcentaje;
88;Radiación solar;89;;W/m2;vatios por metro cuadrado;
89;Precipitación;89;;l/m2;litros por metro cuadrado;
431;MetaParaXileno;59;Cromatografía de gases;µg/m³;microgramos por metro cúbico;
